Field,Description,Type,Coverage,Users,Alphas
exercisable_option_quantity,Maximum number of exercisable options awarded for that incentive plan in the period,VECTOR,3%,0,0
exercisable_option_volume,Number of exercisable options awarded in the incentive plan,VECTOR,31%,3,3
expired_option_quantity,Number of expired options in the incentive plan,VECTOR,0%,1,1
expired_option_volume,Number of expired options in the director's incentive plan,VECTOR,0%,1,1
fnd1_attrition,"Number of directors that have left a role as a proportion of the average number of directors for the preceding reporting period, whether for the executive directors",VECTOR,25%,7,11
fnd1_attrition3yr,"Number of directors that have left a role as a proportion of the average number of directors for the preceding 3 years, whether for the executive directors",VECTOR,28%,5,6
fnd1_board_characteristics_avgtimeothco,Average time executive directors serve on other quoted boards (excluding the one analyzed),VECTOR,80%,2,2
fnd1_board_characteristics_boardid,A unique identifier allocated to each company,VECTOR,32%,2,2
fnd1_board_characteristics_filtered_avgtimeothco,Average time executive directors sit on the boards of quoted companies (excluding current organization),VECTOR,80%,4,4
fnd1_board_characteristics_filtered_noquals,Total number of educational qualifications undergraduate and above held by the individual,VECTOR,80%,1,1
fnd1_board_characteristics_filtered_timebrd,Length of time the individual has served on the board up to the annual report date,VECTOR,80%,5,5
fnd1_board_characteristics_filtered_timeinco,Tenure of the individual at the company as of the annual report date,VECTOR,80%,3,3
fnd1_board_characteristics_filtered_timeretirement,Time to retirement for the individual at the chosen AnnualReportDate,VECTOR,80%,3,6
fnd1_board_characteristics_filtered_timerole,Time in current role for the individual at the chosen AnnualReportDate,VECTOR,80%,2,2
fnd1_board_characteristics_filtered_totcurrnolstdbrd,Number of quoted (publicly listed) boards an executive director serves on as of the annual report date,VECTOR,80%,0,0
fnd1_board_characteristics_filtered_totcurrnounlstdbrd,Number of private (non-quoted) boards an executive director serves on as of the annual report date,VECTOR,79%,1,1
fnd1_board_characteristics_filtered_totnolstdbrd,Total number of quoted (public) boards an individual has served up to the AnnualReportDate,VECTOR,80%,0,0
fnd1_board_characteristics_filtered_totnounlstdbrd,Total number of private (non-quoted) boards an executive director has ever served on to date,VECTOR,80%,6,9
fnd1_board_characteristics_noquals,Total number of educational qualifications at undergraduate level or above as of the annual report date,VECTOR,80%,1,1
fnd1_board_characteristics_timebrd,Average time spent on the board by executive directors as of the selected annual report date,VECTOR,80%,3,4
fnd1_board_characteristics_timeinco,Average time spent at the company by executive directors as of the selected annual report date,VECTOR,80%,0,0
fnd1_board_characteristics_timeretirement,Average time to retirement for executive directors as of the selected annual report date,VECTOR,80%,2,2
fnd1_board_characteristics_timerole,The average length of time executive directors have served in their current role,VECTOR,80%,2,3
fnd1_board_characteristics_totcurrnolstdbrd,The average number of quoted (public) boards currently served on by executive directors in the company,VECTOR,80%,1,1
fnd1_board_characteristics_totcurrnoothlstdbrd,The average number of Other Boards that are sat on today for the Executive Directors,VECTOR,17%,0,0
fnd1_board_characteristics_totcurrnounlstdbrd,The average number of private (unlisted) boards currently served on by executive directors in the company,VECTOR,75%,1,1
fnd1_board_characteristics_totnolstdbrd,The average cumulative number of quoted (public) boards served on over time by executive directors,VECTOR,80%,2,2
fnd1_board_characteristics_totnoothlstdbrd,The average number of Other Boards that have been sat on over time for the Executive Directors,VECTOR,24%,1,1
fnd1_board_characteristics_totnounlstdbrd,Average number of private boards served on over time by Executive Directors,VECTOR,79%,2,2
fnd1_director_characteristics_avgtimeothco,Average time the director sits on boards of quoted (public) companies,VECTOR,80%,3,3
fnd1_director_characteristics_boardid,A unique identifier allocated to each company,VECTOR,32%,0,0
fnd1_director_characteristics_directorid,A unique identifier allocated to each director,VECTOR,32%,1,1
fnd1_director_characteristics_filtered_avgtimeothco,Average time the director sits on the boards of other quoted companies,VECTOR,80%,1,1
fnd1_director_characteristics_filtered_noquals,Total number of educational qualifications (undergraduate and above) held by the individual,VECTOR,80%,0,0
fnd1_director_characteristics_filtered_timebrd,Length of time the individual has served on the board at the selected annual report date,VECTOR,80%,3,3
fnd1_director_characteristics_filtered_timeinco,Total time the individual has been with the company at the selected annual report date,VECTOR,80%,0,0
fnd1_director_characteristics_filtered_timeretirement,Time to retirement for the individual at the selected annual report date,VECTOR,80%,0,0
fnd1_director_characteristics_filtered_timerole,Length of time the individual has served in the current role at the selected annual report date,VECTOR,80%,1,1
fnd1_director_characteristics_filtered_totcurrnolstdbrd,Number of quoted boards the individual currently serves on at the selected date,VECTOR,80%,0,0
fnd1_director_characteristics_filtered_totcurrnounlstdbrd,Number of private boards the individual currently serves on at the selected date,VECTOR,79%,3,3
fnd1_director_characteristics_filtered_totnolstdbrd,Total number of quoted (public) boards the individual has served on up to the selected date,VECTOR,80%,1,1
fnd1_director_characteristics_filtered_totnounlstdbrd,Total number of private boards the individual has served on up to the selected date,VECTOR,80%,1,1
fnd1_director_characteristics_noquals,Total number of educational qualifications (undergraduate and above) for the director as of the selected annual report date,VECTOR,80%,1,1
fnd1_director_characteristics_timebrd,Time spent by the director on the board as of the selected annual report date,VECTOR,80%,3,3
fnd1_director_characteristics_timeinco,Time spent by the director in the company as of the selected annual report date,VECTOR,80%,0,0
fnd1_director_characteristics_timeretirement,Number of years or time until the director's retirement at the annual report date,VECTOR,80%,3,3
fnd1_director_characteristics_timerole,Time spent by the director in their current role as of the selected annual report date,VECTOR,80%,1,1
fnd1_director_characteristics_totcurrnolstdbrd,Number of quoted (public) boards the director serves on as of the selected annual report date,VECTOR,80%,0,0
fnd1_director_characteristics_totcurrnoothlstdbrd,The number of other boards that an individual serves on at the Annual Report Date selected.,VECTOR,17%,2,3
fnd1_director_characteristics_totcurrnounlstdbrd,Number of private (unlisted) boards the director serves on as of the selected annual report date,VECTOR,80%,7,8
fnd1_director_characteristics_totnolstdbrd,Total number of quoted (publicly-listed) boards the director has served on historically up to the selected annual report date,VECTOR,80%,2,2
fnd1_director_characteristics_totnoothlstdbrd,The total number of Other Boards that an individual has served to the AnnualReportDate selected.,VECTOR,24%,1,1
fnd1_director_characteristics_totnounlstdbrd,Total number of private (unlisted) boards served by the director up to the selected annual report date,VECTOR,80%,1,1
fnd1_filtered_attrition3yr,Proportion of executive directors who left over the preceding 3 years compared to average number of directors in that period,VECTOR,67%,7,7
fnd1_filtered_genderratio,Proportion of male executive directors on the board,VECTOR,80%,5,5
fnd1_filtered_numberdirectors,Total number of executive directors as of the annual report date,VECTOR,80%,2,5
fnd1_filtered_stdevage,Standard deviation across the executive directors on the board for their ages (how spread out the ages are among executive directors),VECTOR,80%,5,5
fnd1_filtered_stdevnoquals,Standard deviation across the executive directors on the board for the number of educational or professional qualifications each executive director holds,VECTOR,80%,1,3
fnd1_filtered_stdevtimebrd,Standard deviation of time served on board among executive directors,VECTOR,80%,0,0
fnd1_filtered_stdevtimeincompany,Standard deviation of time in company among executive directors,VECTOR,80%,0,0
fnd1_filtered_stdevtotcurrnolstdbrd,Standard deviation of the number of quoted boards currently served on by executive directors in the board,VECTOR,80%,0,0
fnd1_filtered_stdevtotnolstdbrd,Standard deviation of total quoted boards served among executive directors,VECTOR,80%,1,1
fnd1_filtered_succession,Measure of how many directors are clustered near retirement age (succession risk),VECTOR,80%,5,7
fnd1_genderratio,Proportion of male directors among executive directors,VECTOR,80%,1,1
fnd1_nationalitymix,Proportion of directors from different countries whether for the executive directors.,VECTOR,12%,0,0
fnd1_numberdirectors,Number of Executive Directors on the board,VECTOR,80%,0,0
fnd1_stdevage,Standard deviation of ages of Executive Directors,VECTOR,80%,3,3
fnd1_stdevnoquals,The standard deviation of the number of educational qualifications (undergraduate and above) for executive directors,VECTOR,80%,1,1
fnd1_stdevtimebrd,"Standard deviation of “time on board” for executive directors (i.e., how long they have sat on boards)",VECTOR,80%,0,0
fnd1_stdevtimeincompany,Standard deviation of time in company among executive directors,VECTOR,80%,1,1
fnd1_stdevtotcurrnolstdbrd,Standard deviation of the number of quoted boards currently served on by executive directors,VECTOR,80%,1,1
fnd1_stdevtotnolstdbrd,Standard deviation of total number of quoted boards served on over time among executive directors,VECTOR,80%,0,0
fnd1_succession,"Degree to which Executive Directors’ ages are clustered near retirement age, indicating succession risk",VECTOR,80%,3,4
incentive_cash_plan_value,The value of any cash-based incentive plan awarded,VECTOR,14%,1,1
incentive_currency_code,ISO code representing the currency in which all monetary values are reported,VECTOR,32%,0,0
incentive_equity_matched_value,The value of shares awarded plus any matched percentage for a given incentive plan,VECTOR,1%,0,0
incentive_equity_matched_volume,Maximum number of shares awarded plus matched percentage in the period for a conditional incentive plan,VECTOR,1%,1,1
incentive_exercisable_option_volume,The number of options awarded that are currently exercisable under the specified conditional incentive plan,VECTOR,1%,0,0
incentive_expired_option_volume,Number of options that have expired in the incentive plan,VECTOR,0%,0,0
incentive_option_exercise_price,Price at which the options under the incentive plan can be exercised,VECTOR,6%,1,1
incentive_plan_stock_price,Price of the stock for the incentive plan at the annual report date,VECTOR,32%,0,0
incentive_share_award_value,Value of shares awarded for a given incentive plan,VECTOR,29%,0,0
incentive_share_award_volume,Maximum number of shares awarded in the period for a conditional incentive plan,VECTOR,29%,0,0
incentive_unexercisable_option_volume,Number of unexercisable options awarded for the plan,VECTOR,2%,0,0
intrinsic_value_exercisable_options,Exercise price at which the exercisable options can be exercised,VECTOR,2%,0,0
intrinsic_value_options_awarded,"Intrinsic value of options awarded to the director during the period, valued at closing stock price on the report date",VECTOR,0%,0,0
intrinsic_value_options_awarded_2,"Intrinsic value of options awarded during the period, valued at annual report date closing stock price",VECTOR,14%,0,0
intrinsic_value_options_held,"Valuation of stock options held by the director at period end, using the closing share price on the annual report date",VECTOR,11%,0,0
intrinsic_value_options_held_2,"Value of stock options held by the director at period end, using closing stock price from the annual report date",VECTOR,17%,0,0
intrinsic_value_unexercisable_options,"Valuation of unexercisable options awarded in the period, using the closing stock price at the annual report date",VECTOR,2%,0,0
ltip_award_value,"Value of long-term incentive plan (LTIP) awards granted during the period, measured at the closing stock price of the report date",VECTOR,1%,0,0
ltip_award_value_2,"Value of Long-Term Incentive Plans (LTIPs) awarded during the period, valued at closing stock price on the annual report date",VECTOR,16%,0,0
ltip_plan_value_held,"Value of long-term incentive plans (LTIPs) held by the director at the end of the period, at closing stock price",VECTOR,17%,0,0
ltip_plan_value_held_2,"Value of LTIPs held at period end, valued at closing stock price on annual report date",VECTOR,16%,1,1
ltip_to_total_remuneration_ratio,Ratio of LTIP value to total compensation for the director during the report period,VECTOR,1%,0,0
ltip_to_total_remuneration_ratio_2,Ratio of LTIP value to total awards for the period (LTIPValue/TotRemPeriod),VECTOR,16%,1,1
ltip_wealth_stock_price,Stock price for the awarded security on the annual report date,VECTOR,32%,0,0
matched_share_award_quantity,Maximum number of shares awarded plus the matched percentage in the period under a specific incentive plan,VECTOR,1%,2,2
matched_share_award_value,Value of shares awarded plus matched percentage for the given incentive plan,VECTOR,1%,0,0
monetary_unit_code,ISO code of the currency in which all monetary values are reported,VECTOR,32%,0,0
option_award_stock_price,Market price of the stock at the annual report date relevant to the option plan,VECTOR,30%,0,0
option_currency_code,Numeric ISO code of the currency in which all plan values in the record are displayed,VECTOR,30%,0,0
option_exercisable_estimate_value,"Valuation of exercisable options awarded, based on closing stock price at annual report date",VECTOR,16%,0,0
option_exercisable_intrinsic_value,"Valuation of exercisable options awarded, using closing stock price at annual report date",VECTOR,14%,0,0
option_exercisable_volume,Number of options in the plan that are exercisable as of the report date,VECTOR,16%,0,0
option_exercise_price,Price at which options can be exercised by the director,VECTOR,32%,0,0
option_exercise_price_2,Specified price at which the option holder can purchase shares under the option plan,VECTOR,30%,0,0
option_expired_volume,Number of expired options in the relevant incentive plan,VECTOR,0%,0,0
option_plan_currency_code,ISO code of the currency in which financial values are expressed,VECTOR,32%,2,2
option_plan_stock_price,Closing price of the stock at the time of the annual report or the relevant award date,VECTOR,32%,0,0
option_strike_price,Price at which awarded options can be exercised,VECTOR,5%,0,0
option_unexercisable_estimate_value,"Valuation of unexercisable options awarded, using closing stock price at annual report date",VECTOR,27%,0,0
option_unexercisable_intrinsic_value,"Valuation of unexercisable options awarded, using closing stock price at annual report date",VECTOR,23%,0,0
option_unexercisable_volume,Number of unexercisable options currently awarded for that plan,VECTOR,27%,2,2
other_board_total_count,Total number of other boards the director has served on up to the selected annual report date,VECTOR,60%,2,2
other_cash_payments,"Annual ad hoc cash payments made to the director, such as relocation allowances or similar items",VECTOR,1%,0,0
other_cash_payments_2,Annual value of ad hoc cash payments such as relocation allowances,VECTOR,19%,0,0
qualification_count,Total number of educational qualifications (undergraduate level and above) held by the director,VECTOR,77%,1,3
retirement_time_remaining,Estimated time to retirement for the individual at the selected annual report date (years),VECTOR,77%,2,3
role_tenure_duration,Years in the current role as of the selected annual report date,VECTOR,77%,2,3
share_award_quantity,Maximum number of shares awarded during the period for the specified incentive plan,VECTOR,30%,1,1
share_award_value,"Value of shares awarded to the director during the reporting period, measured at closing stock price",VECTOR,0%,0,0
share_award_value_2,"Value of shares awarded during the period, using closing stock price on the annual report date",VECTOR,4%,0,0
share_award_value_3,Total value of shares awarded for a given incentive plan,VECTOR,30%,0,0
tenure_in_organization,Years the individual has been at the company as of the selected annual report date,VECTOR,77%,1,1
total_awards_period,Total compensation or awards received by the director for the reporting period,VECTOR,3%,0,0
total_director_cash_comp,"Total direct compensation: sum of salary, bonus, other cash, and pension employer contributions for the director",VECTOR,21%,0,0
total_director_cash_compensation,"Total direct compensation received by the director, calculated as Salary plus Bonus plus Other plus PenEmpCont (Pension/Employer contributions)",VECTOR,20%,0,0
total_equity_at_risk,Total value or volume of equity at risk (held or awarded shares and options),VECTOR,1%,0,0
total_equity_at_risk_2,Total stock,VECTOR,18%,1,1
total_equity_linked_wealth,"Total value of equity-linked wealth (e.g., shares, options) held by the director at the end of the period, valued using closing stock price on the annual report date",VECTOR,20%,0,0
total_equity_linked_wealth_2,"Total valuation of director’s equity-linked wealth at period end, calculated at closing stock price of the annual report date",VECTOR,20%,0,0
total_other_board_count,The total number of Other Boards that an individual has served to the AnnualReportDate selected.,VECTOR,77%,1,1
total_other_listed_boards_count,Total number of other boards (neither quoted nor private) an executive director has served on to date,VECTOR,55%,1,1
total_other_listed_boards_count_2,"Total number of other (non-quoted, non-private) boards an individual has served on as of the annual report date",VECTOR,52%,0,0
total_private_board_count,Total lifetime number of unlisted/private boards the individual has served on,VECTOR,77%,2,3
total_quoted_board_count,Total lifetime number of quoted/listed boards the individual has served on,VECTOR,77%,1,2
total_remuneration_period,Total remuneration or awards received by the director during the period,VECTOR,20%,0,0
total_shareholding_value,"Value of shares held by the individual director at the end of the reporting period, measured at the closing stock price of the annual report date",VECTOR,19%,0,0
total_shareholding_value_2,"Value of shares held by the director at the end of the reporting period, calculated using the annual report date's closing stock price",VECTOR,20%,0,0
unexercisable_option_estimate_value,"Valuation of unexercisable options awarded in the period, valued at closing stock price for the annual report date",VECTOR,2%,0,0
unexercisable_option_estimated_value,"Estimated value of unexercisable options awarded, valued at the closing stock price",VECTOR,11%,1,1
unexercisable_option_intrinsic_value,"Valuation of unexercisable options, usually at the closing stock price for the period",VECTOR,9%,2,2
unexercisable_option_intrinsic_value_2,"Valuation of unexercisable options awarded in the period, based on closing stock price at the annual report date",VECTOR,2%,0,0
unexercisable_option_quantity,Maximum number of unexercisable options awarded for the incentive plan in the period,VECTOR,3%,0,0
unexercisable_option_volume,Number of unexercisable options awarded in the incentive plan,VECTOR,11%,0,0
wealth_sensitivity_to_stock,Change in the director's wealth in the company for a 1% change in share price at the annual report date; calculated using holdings and the closing stock price,VECTOR,20%,0,0
wealth_sensitivity_to_stock_2,"Change in the director's company-specific wealth for a 1% change in stock price at the annual report date, as valued at that date",VECTOR,20%,0,0
