Field,Description,Type,Coverage,Users,Alphas
aggregate_director_compensation,Sum of salary and bonus received by the director for the report period,VECTOR,20%,1,1
aggregate_director_compensation_2,Sum of the director's salary and bonus for the report period,VECTOR,21%,0,0
annual_base_salary,Base annual cash salary for the director in the report period,VECTOR,20%,1,1
annual_bonus_payment,Bonus payment received by the director during the report period,VECTOR,17%,1,2
average_other_board_tenure,The Average Time that a Director sits on the Board of Quoted Companies,VECTOR,77%,10,15
board_nationality_diversity_ratio,Proportion of executive directors from different countries on the board,VECTOR,76%,0,0
board_nationality_diversity_ratio_2,Proportion of directors from different countries among executive directors (board nationality diversity),VECTOR,74%,1,4
board_service_duration,Years served on the current board as of the selected annual report date,VECTOR,77%,4,7
bonus_proportion_total_comp,Bonus amount as a proportion of total direct compensation excluding defined contribution pension,VECTOR,17%,0,0
bonus_to_compensation_ratio,Bonus as a proportion of total direct compensation less defined contribution pension for the director,VECTOR,0%,0,0
cash_incentive_plan_value,Value of any cash-based incentive plan awarded,VECTOR,16%,0,0
compensation_change_percent,Percentage change in the director's total compensation compared to the previous reporting period,VECTOR,1%,0,0
compensation_change_percent_2,Percentage change in total compensation from previous report period for the director,VECTOR,18%,0,0
compensation_currency_code,ISO currency code representing the currency in which all values in the row are displayed,VECTOR,80%,2,2
compensation_currency_code_2,ISO code of the currency in which all reported values are displayed,VECTOR,80%,2,2
current_other_board_count,The number of Other Boards that an individual serves on at the AnnualReportDate selected.,VECTOR,77%,1,1
current_other_board_total,Number of other boards the director serves on as of the selected annual report date,VECTOR,41%,1,1
current_other_listed_boards_count,Number of other types of boards (neither quoted nor private) an executive director serves on as of the annual report date,VECTOR,31%,1,1
current_other_listed_boards_count_2,Number of other boards the individual currently serves on as of the annual report date,VECTOR,37%,1,1
current_private_board_count,Current number of unlisted or private boards the director serves on at the report date,VECTOR,77%,3,5
current_quoted_board_count,The total number of quoted/listed boards the individual currently serves on at the given report date,VECTOR,77%,1,3
director_attrition_ratio,Proportion of executive directors who left since previous period to average number of directors in previous period,VECTOR,50%,0,0
director_attrition_ratio_2,Proportion of executive directors who have left roles relative to average number for the preceding reporting period,VECTOR,69%,1,2
director_attrition_ratio_3yr,Proportion of executive directors who have left roles relative to average number for the preceding 3 years,VECTOR,68%,3,4
director_base_salary,Base annual cash salary paid to the director during the reported period,VECTOR,3%,0,0
director_bonus_payment,Bonus payments received by the director during the report period,VECTOR,0%,0,0
director_current_other_listed_boards_count,Number of other types of boards the individual currently serves on at the selected date,VECTOR,30%,0,0
director_total_other_listed_boards_count,Total number of other types of boards the individual has served on up to the selected date,VECTOR,55%,0,0
employer_pension_contribution,Employer's defined contribution to the director's pension for each report period,VECTOR,1%,0,0
employer_pension_contribution_2,Employer’s defined pension contribution for each director during the reporting period,VECTOR,15%,1,1
equity_linked_compensation_ratio,"Ratio of equity-linked compensation to total compensation for the director, calculated at closing stock price",VECTOR,1%,0,0
equity_linked_compensation_ratio_2,"Equity-linked compensation (such as shares/options/LTIPs) as a proportion of total compensation, based on annual report date stock price",VECTOR,18%,0,0
estimated_option_value_held,"Estimated value of options held by the director at the end of the reporting period, calculated at the closing stock price of the annual report date",VECTOR,12%,0,0
estimated_value_exercisable_options,"Estimated value of exercisable options awarded in the period, valued at closing stock price on annual report date",VECTOR,3%,1,1
estimated_value_options_awarded,"Estimated valuation of options awarded to the director during the period, calculated at the closing stock price on the report date",VECTOR,0%,0,0
estimated_value_options_awarded_2,"Estimated value of options awarded to the director during the period, based on closing stock price from the annual report date",VECTOR,16%,0,0
estimated_value_options_held,"Estimated value of options held at end of period by the director, valued at annual report closing price",VECTOR,17%,0,0
estimated_value_unexercisable_options,"Estimated value of unexercisable options awarded in the period, valued at closing stock price on annual report date",VECTOR,3%,0,0
exercisable_option_estimate_value,"Valuation of exercisable options awarded in the period, based on the closing stock price at the annual report date",VECTOR,1%,0,0
exercisable_option_estimated_value,"Estimated value of exercisable options awarded, valued at the closing stock price",VECTOR,31%,1,1
exercisable_option_intrinsic_value,"Valuation of exercisable options, usually at the period's closing stock price",VECTOR,30%,0,0
exercisable_option_intrinsic_value_2,"Valuation of exercisable options awarded in the period, based on closing stock price at the annual report date",VECTOR,1%,1,1
