Field,Description,Type,Coverage,Users,Alphas
opt40_call_vega_60days,Vega for call options with 60 days to expiration.,MATRIX,97%,8,15
opt40_call_vega_730days,Vega (sensitivity to implied volatility) of the standardized call option at 730 days to expiry on the OptionMetrics standard surface,MATRIX,97%,3,3
opt40_call_volatility_152days,"Implied volatility for the at-the-money call option at the standard 152-day tenor from the OptionMetrics surface, annualized (decimal)",MATRIX,97%,33,43
opt40_call_volatility_182days,Implied volatility for calls with 182-day tenor; annualized percentage,MATRIX,97%,16,22
opt40_call_volatility_273days,Implied volatility from OptionMetrics IvyDB US standardized surface for the 273-day tenor call at the ATM/forward gridpoint; D1-lagged and masked if unreliable,MATRIX,97%,25,28
opt40_call_volatility_30days,Annualized implied volatility of the call option at 30 days to expiry,MATRIX,97%,18,21
opt40_call_volatility_365days,Annualized implied volatility of the call option at 365 days to expiry,MATRIX,97%,15,15
opt40_call_volatility_547days,Implied volatility from OptionMetrics IvyDB US standardized surface for the 547-day tenor call at the ATM/forward gridpoint; D1-lagged and masked if unreliable,MATRIX,97%,30,42
opt40_call_volatility_60days,"Implied volatility for the at-the-money call option at the standard 60-day tenor from the OptionMetrics US surface, annualized (decimal)",MATRIX,97%,17,18
opt40_call_volatility_730days,Implied volatility for calls with 730-day tenor; annualized percentage,MATRIX,97%,13,14
opt40_ivcall10,Annualized implied volatility of the at-the-money call option with expiration 10 days from the measurement date,MATRIX,98%,10,14
opt40_ivcall1080,Implied volatility of the at-the-money call for the stock with an expiration 1080 calendar days from the measurement date,MATRIX,98%,16,18
opt40_ivcall120,Annualized implied volatility of the at-the-money call option with expiration 120 days from the measurement date,MATRIX,98%,49,133
opt40_ivcall150,Implied volatility of the at-the-money call for the stock with an expiration 150 calendar days from the measurement date,MATRIX,98%,68,250
opt40_ivcall180,Implied volatility of the at-the-money call for the stock with an expiration 180 calendar days from the measurement date,MATRIX,98%,30,47
opt40_ivcall20,Annualized implied volatility of the at-the-money call option with expiration 20 days from the measurement date,MATRIX,98%,19,21
opt40_ivcall270,Implied volatility of the at-the-money call for the stock with an expiration 270 calendar days from the measurement date,MATRIX,98%,23,30
opt40_ivcall30,Annualized implied volatility of the at-the-money call option with expiration 30 days from the measurement date,MATRIX,98%,40,58
opt40_ivcall360,Annualized implied volatility of the at-the-money call option with expiration 360 days from the measurement date,MATRIX,98%,22,27
opt40_ivcall60,Annualized implied volatility of the at-the-money call option with expiration 60 days from the measurement date,MATRIX,98%,50,135
opt40_ivcall720,Implied volatility of the at-the-money call for the stock with an expiration 720 calendar days from the measurement date,MATRIX,98%,32,114
opt40_ivcall90,Annualized implied volatility of the at-the-money call option with expiration 90 days from the measurement date,MATRIX,98%,41,56
opt40_ivmean10,The average of IvCall10 and IvPut10 representing mean implied volatility for 10 calendar days,MATRIX,98%,7,8
opt40_ivmean1080,The average of IvCall1080 and IvPut1080,MATRIX,98%,6,8
opt40_ivmean120,The average of IvCall120 and IvPut120,MATRIX,98%,41,116
opt40_ivmean150,The average of IvCall150 and IvPut150,MATRIX,98%,20,24
opt40_ivmean180,Mean implied volatility (calls and puts) over 180-day window; annualized %,MATRIX,98%,26,32
opt40_ivmean20,The average of IvCall20 and IvPut20 representing mean implied volatility for 20 calendar days,MATRIX,98%,14,16
opt40_ivmean270,Average of the at-the-money call and put annualized implied volatilities at a 270‑day expiration,MATRIX,98%,14,16
opt40_ivmean30,Average of the at-the-money call and put annualized implied volatilities at a 30‑day expiration,MATRIX,98%,18,20
opt40_ivmean360,Average of the at-the-money call and put annualized implied volatilities at a 360‑day expiration,MATRIX,98%,11,14
opt40_ivmean60,The average of IvCall60 and IvPut60,MATRIX,98%,34,101
opt40_ivmean720,The average of IvCall720 and IvPut720,MATRIX,98%,12,14
opt40_ivmean90,Average of the at-the-money call and put annualized implied volatilities at a 90‑day expiration,MATRIX,98%,31,42
opt40_ivput10,Implied volatility of the at-the-money put for the stock with an expiration 10 calendar days from the measurement date,MATRIX,98%,21,25
